t,x1,x2
0,0,0
10,0.000704878326754,-0.000352323420611
20,0.002495523874986,-0.001143560391961
30,0.004892729346664,-0.002001699196229
40,0.007662761322594,-0.002783047281727
50,0.010684164099191,-0.00344175822205
60,0.013888145379563,-0.003972509099396
70,0.017231681324691,-0.00438553413849
80,0.020685204889542,-0.00469593601868
90,0.024226822665972,-0.004919268483678
100,0.027839478311718,-0.005069849062485
110,0.031509465878092,-0.005160239498323
120,0.035225578081961,-0.005201207786654
130,0.038978566696055,-0.005201873282656
140,0.042760767049812,-0.005169907311016
150,0.046565816930255,-0.005111736771404
160,0.05038843554157,-0.005032730877923
170,0.054224244410528,-0.004937365106386
180,0.058069619778764,-0.004829362147294
190,0.061921569801514,-0.004711811816721
200,0.065777631871641,-0.004587272509433
210,0.069635786546551,-0.004457856786739
220,0.072065792607383,-0.003611241698991
230,0.072294942946117,-0.001873652353768
240,0.071294264937161,-5.73428631536754E-07
250,0.069537068107345,0.001715790163562
260,0.067269077621366,0.003181844361129
270,0.064629325779754,0.004386313343206
280,0.06170468251868,0.005349579318769
290,0.05820076667287,0.006810304111282
300,0.054074788524168,0.009182457643108
310,0.049735058831952,0.012013212428285
320,0.045353649840341,0.015092978552691
330,0.040999260681155,0.018321431958829
340,0.036695922626115,0.021647877977863
350,0.032448849253294,0.02504461732267
360,0.028255744762374,0.028494977975265
370,0.024111687694131,0.031987876075299
380,0.020011186138775,0.035515293196409
390,0.015948996002205,0.03907106452967
400,0.011920405419703,0.042650263175661
410,0.007921294805293,0.046248861201705
420,0.003948107832333,0.049863523873928
430,0.000721506061729,0.053129733384108
440,-0.001370645833694,0.055956554590602
450,-0.002823487161194,0.058724349338679
460,-0.003879377503472,0.061579052994197
470,-0.00466491832577,0.064566283232469
480,-0.005252301684511,0.067690237391548
490,-0.005687006219149,0.070939325495799
500,-0.005282989630982,0.072861653980467
510,-0.003887727637209,0.072665615102345
520,-0.002277613808369,0.071312977932279
530,-0.00076007998223,0.069266935094176
540,0.000559531233836,0.066763674346163
550,0.001660544230604,0.063933755479817
560,0.002555661008365,0.060856727845201
570,0.003268876907393,0.057586015442101
580,0.003826243801946,0.054160510739015
590,0.004252242778945,0.050610185482283
600,0.004568570257331,0.046958973694021
610,0.004793931882449,0.04322638231243
620,0.004944230696006,0.039428484878221
630,0.005032885837567,0.035578597280113
640,0.005071171828687,0.031687775192463
