t,x1,x2
0,0.0,0.0
10,6.041813193581344E-4,-3.019914516106942E-4
20,0.00213902009758455,-9.801944536472302E-4
30,0.00419376729249481,-0.0017157418740692528
40,0.006568080007695176,-0.0023854686896855474
50,0.009157853372245285,-0.002950077970315233
60,0.011904122570346521,-0.003405007215766592
70,0.01477001003201825,-0.0037590286171578753
80,0.01773017258014819,-0.004025087325996214
90,0.020765844439543914,-0.004216515120320995
100,0.02386240589077293,-0.00434558416574414
110,0.027008108979829776,-0.0044230616688947354
120,0.030193347465676264,-0.004458177338586812
130,0.03341019429772606,-0.004458747763634098
140,0.036652079759479574,-0.00443134836406775
150,0.039913550526464586,-0.004381487910091339
160,0.043190080203043005,-0.00431376858443094
170,0.046477915812806456,-0.004232026508554903
180,0.049773951277688105,-0.004139452559488544
190,0.05307562215975874,-0.004038695150555591
200,0.056380817653262624,-0.003931947191179588
210,0.059687806807701,-0.0038210194478870974
220,0.06299517659961634,-0.0037074023354217167
230,0.06630177991842122,-0.003592317915927609
240,0.06960669186924873,-0.003476763633780404
250,0.0729091730626007,-0.0033615490855385607
260,0.07496260401809231,-0.0026245141471288036
270,0.07509439443795765,-0.0011136995516172407
280,0.07415307716104062,5.121527814520993E-4
290,0.07255248846924263,0.0019986405616495007
300,0.07050764329693282,0.0032646441568355486
310,0.06814030452433045,0.004300812196869529
320,0.06552660977618813,0.005125347211346172
330,0.06271887289314383,0.005765075874470529
340,0.05944897477708179,0.0068615258779906145
350,0.05567182214746082,0.008771561041442801
360,0.05173583583433218,0.011099697154684968
370,0.04778599931969065,0.013661284329632525
380,0.043878550161109975,0.01636664646212148
390,0.04003161257722397,0.01916946456452705
400,0.036247456848003984,0.022043689022021407
410,0.03252220624782599,0.024973135398496694
420,0.02885000307460181,0.027946731476699772
430,0.02522473926442884,0.030956292576641047
440,0.02164072539564532,0.03399543664736534
450,0.018092904435982653,0.03705902040496111
460,0.014576876686527716,0.04014281964871877
470,0.011088852020940666,0.04324332889148866
480,0.0076255791642356185,0.04635762318222818
490,0.00418427260373367,0.04948325531849164
500,0.001385562227432257,0.052306769027489736
510,-4.365335625599216E-4,0.054750205995667364
520,-0.0017082169289445656,0.05714129145363075
530,-0.002638053968715668,0.05960586017691001
540,-0.003334957079022722,0.06218333993039414
550,-0.0038610074141386674,0.06487747089357287
560,-0.004255300178998028,0.06767838112027226
570,-0.00454487225021661,0.07057202475866059
580,-0.004136146210426107,0.07231627070498395
590,-0.002894333051294648,0.07223512984111334
600,-0.001480476765237805,0.07115272613298465
610,-1.553038122827921E-4,0.06946681758517298
620,9.928152662061276E-4,0.06738089088920562
630,0.0019475878574546357,0.06500791771358315
640,0.002721018498879308,0.06241706272763774
650,0.0033345748520768152,0.05965498108195874
660,0.003811325205664566,0.05675575401502362
670,0.004172864131523717,0.05374570777803159
680,0.004438296280324331,0.05064589792044159
690,0.004624077915739492,0.047473503126850655
700,0.004744192528665016,0.04424268912003545
710,0.004810435626681955,0.04096519855505355
720,0.004832715129209408,0.037650786582143485
730,0.004819331067945206,0.03430756035281559
740,0.004777222867956685,0.030942252688165438
750,0.004712182691386449,0.02756044699319976
760,0.004629037269317371,0.024166764092465272
770,0.004531801905594693,0.020765018329392607
780,0.004423810481418677,0.017358348380625693
790,0.004307825006214735,0.013949327050270847
800,0.004186127842064553,0.010540053490288168
810,0.00406059929725034,0.0071322306839042915
